timestamp	company	status
2026-07-29T12:07:02.688Z	Leidos Holdings	reachable
2026-07-29T12:07:02.688Z	Lennar	reachable
2026-07-29T12:07:02.688Z	LKQ	reachable
2026-07-29T12:07:02.688Z	Loews	reachable
2026-07-29T12:07:02.688Z	Lowe's	reachable
2026-07-29T12:07:02.688Z	LPL Financial Holdings	auth
2026-07-29T12:07:02.688Z	Markel	reachable
2026-07-29T12:07:02.688Z	Masco	reachable
2026-07-29T12:07:02.688Z	Mastercard	reachable
2026-07-29T12:07:02.688Z	McKesson	empty
2026-07-29T12:07:02.688Z	MGM Resorts International	auth
2026-07-29T12:07:02.688Z	Mosaic	reachable
2026-07-29T12:07:02.688Z	Motorola Solutions	reachable
2026-07-29T12:07:02.688Z	Nationwide	reachable
2026-07-29T12:07:02.688Z	NCR	reachable
2026-07-29T12:07:02.688Z	NGL Energy Partners	reachable
2026-07-29T12:07:02.688Z	Nike	reachable
2026-07-29T12:07:02.688Z	Nordstrom	reachable
2026-07-29T12:07:02.688Z	Northwestern Mutual	reachable
2026-07-29T12:07:02.688Z	Old Republic International	reachable
